pref,public,private
北海道,102.4,89.7
青森,101.5,80.5
岩手,98.9,80.4
宮城,104.9,94.6
秋田,102.4,81.1
山形,104.3,81.4
福島,102.9,89
茨城,104,97.6
栃木,105.3,94.1
群馬,101.4,94.5
埼玉,109.3,96.3
千葉,111.1,102.1
東京,111.7,116.5
神奈川,120.2,105.1
新潟,105.3,85.6
富山,101.8,90.1
石川,102.4,90.6
福井,102.1,90.1
山梨,102,96.9
長野,105.7,93.1
岐阜,99.1,92.6
静岡,106.8,93.2
愛知,118.5,99.3
三重,101.6,96.5
滋賀,106.6,96.2
京都,115.2,98.9
大阪,114.2,105
兵庫,113.9,97.2
奈良,108.5,97.9
和歌山,105.6,94.4
鳥取,95.5,87.3
島根,101.2,84.3
岡山,100.8,87.3
広島,104.1,96.7
山口,104.3,91
徳島,98.6,93.6
香川,101.9,90
愛媛,103.8,89.2
高知,100.5,87.2
福岡,107.7,96.7
佐賀,102.3,83.1
長崎,103.9,88.1
熊本,101.8,89.6
大分,103,85.7
宮崎,101.3,82.1
鹿児島,104,83.2
沖縄,99.4,76.5
