no,name,price
1,北海道,234
2,青　森,250
3,岩　手,314
4,宮　城,408
5,秋　田,210
6,山　形,251
7,福　島,261
8,茨　城,403
9,栃　木,443
10,群　馬,376
11,埼　玉,1204
12,千　葉,831
13,東　京,3541
14,神奈川,1901
15,新　潟,323
16,富　山,382
17,石　川,527
18,福　井,413
19,山　梨,332
20,長　野,263
21,岐　阜,388
22,静　岡,772
23,愛　知,1056
24,三　重,384
25,滋　賀,546
26,京　都,1166
27,大　阪,1636
28,兵　庫,1003
29,奈　良,654
30,和歌山,456
31,鳥　取,292
32,島　根,268
33,岡　山,347
34,広　島,592
35,山　口,335
36,徳　島,448
37,香　川,447
38,愛　媛,462
39,高　知,476
40,福　岡,505
41,佐　賀,250
42,長　崎,296
43,熊　本,306
44,大　分,304
45,宮　崎,285
46,鹿児島,326
47,沖　縄,423
