Dates,Nikkei,SMBC,CYBER,ZOZO,USD
2023/1/4,25716.86,5375,1161,3190,132.62
2023/1/5,25820.8,5278,1190,3260,133.4
2023/1/6,25973.85,5293,1159,3185,132.07
2023/1/10,26175.56,5285,1159,3185,132.25
2023/1/11,26446,5345,1188,3225,132.47
2023/1/12,26449.82,5580,1189,3185,129.22
2023/1/13,26119.52,5720,1178,3045,127.88
2023/1/16,25822.32,5561,1183,3040,128.54
2023/1/17,26138.68,5519,1186,3065,128.13
2023/1/18,26791.12,5507,1210,3150,128.88
2023/1/19,26405.23,5409,1204,3145,128.42
2023/1/20,26553.53,5467,1199,3140,129.57
2023/1/23,26906.04,5519,1224,3225,130.66
2023/1/24,27299.19,5650,1229,3255,130.15
2023/1/25,27395.01,5660,1243,3245,129.59
2023/1/26,27362.75,5646,1236,3315,130.21
2023/1/27,27382.56,5800,1231,3375,129.85
2023/1/30,27433.4,5800,1214,3395,130.44
2023/1/31,27327.11,5652,1206,3350,130.09
2023/2/1,27346.88,5679,1204,3205,128.93
2023/2/2,27402.05,5596,1199,3160,128.65
2023/2/3,27509.46,5624,1216,3285,131.17
2023/2/6,27693.65,5518,1233,3260,132.65
2023/2/7,27685.47,5634,1254,3270,131.05
2023/2/8,27606.46,5676,1246,3190,131.37
2023/2/9,27584.35,5676,1235,3120,131.56
2023/2/10,27670.98,5739,1234,3100,131.41
2023/2/13,27427.32,5777,1205,3090,132.4
2023/2/14,27602.77,5837,1233,3130,133.11
2023/2/15,27501.86,5911,1225,3115,134.11
2023/2/16,27696.44,5916,1240,3135,133.94
2023/2/17,27513.13,5924,1210,3035,134.15
2023/2/20,27531.94,6000,1200,3075,134.23
2023/2/21,27473.1,5929,1180,3040,134.99
2023/2/22,27104.32,5941,1133,2976,134.9
2023/2/24,27453.48,5849,1151,3000,136.46
2023/2/27,27423.96,5918,1157,2969,136.2
2023/2/28,27445.56,5972,1166,3025,136.2
2023/3/1,27516.53,5923,1139,3035,136.16
2023/3/2,27498.87,5911,1118,3005,136.76
2023/3/3,27927.47,5965,1118,3045,135.86
2023/3/6,28237.78,6056,1117,3085,135.91
2023/3/7,28309.16,6146,1140,3065,137.14
2023/3/8,28444.19,6146,1128,3085,137.34
2023/3/9,28623.15,6245,1140,3085,136.14
2023/3/10,28143.97,5915,1129,3015,134.98
2023/3/13,27832.96,5669,1116,3025,133.18
2023/3/14,27222.04,5240,1097,2994,134.22
2023/3/15,27229.48,5400,1075,2942,133.4
2023/3/16,27010.61,5257,1105,2958,133.72
2023/3/17,27333.79,5258,1134,3010,131.79
2023/3/20,26945.67,5170,1103,2992,131.31
2023/3/22,27466.61,5275,1149,3065,131.44
2023/3/23,27419.61,5217,1152,3040,130.81
2023/3/24,27385.25,5189,1141,3045,130.69
2023/3/27,27476.87,5136,1116,3060,131.56
2023/3/28,27518.25,5273,1116,3025,130.86
2023/3/29,27883.78,5309,1123,3070,132.84
2023/3/30,27782.93,5230,1109,3020,132.65
2023/3/31,28041.48,5298,1115,3015,132.79
2023/4/3,28188.15,5364,1138,3060,132.41
2023/4/4,28287.42,5425,1139,3060,131.69
2023/4/5,27813.26,5342,1118,3010,131.31
2023/4/6,27472.63,5291,1095,2917,131.76
2023/4/7,27518.31,5347,1090,2911,132.13
2023/4/10,27633.66,5377,1092,2910,133.6
2023/4/11,27923.37,5404,1094,2942,133.65
2023/4/12,28082.7,5445,1110,2951,133.12
2023/4/13,28156.97,5420,1118,3050,132.56
2023/4/14,28493.47,5438,1148,3075,133.77
2023/4/17,28514.78,5574,1150,3105,134.46
2023/4/18,28658.83,5652,1164,3110,134.09
2023/4/19,28606.76,5720,1158,3085,134.69
2023/4/20,28657.57,5728,1182,3045,134.23
2023/4/21,28564.37,5626,1182,3045,134.15
2023/4/24,28593.52,5568,1188,3060,134.22
2023/4/25,28620.07,5635,1192,3005,133.71
