name,salary,positon,year,age,birthday,height,weight,blood,投打,出身地,背番号,打率,出場試合,打席,打数,hit,homerun,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27
中野　拓夢,7000,内野手,3年,26,1996/6/28,171cm,69kg,A,右左,山形,51,0.276,135,610,569,157,6,25,23,18,3,89,19,9,0.301,0.346,0.647,3.6,3.52
井上　広大,720,外野手,4年,21,2001/8/12,189cm,101kg,B,右右,大阪,32,0,2,5,5,0,0,0,0,0,0,2,0,0,0,0,0,-2.79,-2.54
佐藤　輝明,8500,内野手,3年,24,1999/3/13,187cm,93kg,B,右左,兵庫,8,0.264,143,603,541,143,20,84,11,51,4,137,0,5,0.328,0.47,0.798,5.62,5.58
北條　史也,1800,内野手,11年,28,1994/7/29,177cm,80kg,O,右右,大阪,26,0.186,32,48,43,8,1,7,0,2,0,6,2,1,0.217,0.279,0.496,1.53,1.88
原口　文仁,3100,内野手,14年,31,1992/3/3,182cm,93kg,AB,右右,埼玉,94,0.324,33,83,71,23,2,10,0,9,0,5,1,1,0.39,0.437,0.827,6.62,6.71
坂本　誠志郎,2800,捕手,8年,29,1993/11/10,176cm,79kg,O,右右,兵庫,12,0.189,60,151,127,24,0,6,0,13,4,26,7,1,0.285,0.213,0.497,2.04,2.11
大山　悠輔,13000,内野手,7年,28,1994/12/19,181cm,92kg,O,右右,茨城,3,0.267,124,510,439,117,23,87,0,59,6,103,1,17,0.358,0.469,0.827,5.55,5.6
小幡　竜平,1400,内野手,5年,22,2000/9/21,184cm,75kg,B,右左,大分,38,0.188,49,73,69,13,1,5,0,2,0,21,1,0,0.208,0.246,0.455,1.35,1.65
小野寺　暖,820,外野手,4年,25,1998/3/17,183cm,82kg,A,右右,奈良,97,0.136,32,45,44,6,1,7,0,1,0,12,0,3,0.156,0.273,0.428,0.08,0.27
山本　泰寛,2800,内野手,8年,29,1993/10/10,176cm,74kg,B,右右,東京,0,0.249,86,203,181,45,2,15,3,10,1,42,10,1,0.29,0.304,0.594,2.87,2.93
島田　海吏,3000,外野手,6年,27,1996/2/6,176cm,73kg,AB,右左,熊本,53,0.264,123,339,311,82,0,17,21,15,3,56,9,3,0.303,0.299,0.602,3.37,3.33
木浪　聖也,2100,内野手,5年,28,1994/6/15,179cm,81kg,O,右左,青森,0,0.204,41,101,93,19,1,6,0,5,1,19,2,2,0.253,0.28,0.532,1.99,2.04
板山　祐太郎,1000,外野手,8年,29,1994/3/27,180cm,82kg,B,右左,神奈川,63,0.125,14,9,8,1,0,0,0,1,0,4,0,0,0.222,0.125,0.347,0.38,0.69
梅野　隆太郎,16000,捕手,10年,31,1991/6/17,173cm,80kg,A,右右,福岡,2,0.228,100,331,294,67,4,25,2,30,0,77,6,16,0.298,0.282,0.581,2.26,2.33
植田　海,1800,内野手,9年,27,1996/4/19,175cm,72kg,O,右両,滋賀,62,0.25,57,14,12,3,0,1,4,2,0,1,0,0,0.357,0.25,0.607,3.33,3.53
熊谷　敬宥,1750,内野手,6年,27,1995/11/10,175cm,69kg,A,右右,宮城,4,0.156,63,52,45,7,0,3,7,0,0,10,6,0,0.152,0.156,0.308,-0.27,0.15
片山　雄哉,450,捕手,5年,28,1994/6/18,177cm,82kg,B,右左,愛知,95,0,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,-2.92,-2.7
糸原　健斗,8000,内野手,7年,30,1992/11/11,175cm,82kg,O,右左,島根,33,0.247,132,495,445,110,3,36,2,35,5,48,6,7,0.307,0.299,0.606,3.15,3.23
豊田　寛,800,外野手,2年,25,1997/4/28,178cm,85kg,B,右右,神奈川,61,0,5,9,7,0,0,0,0,1,0,4,1,1,0.125,0,0.125,-2.16,-1.95
近本　光司,17000,外野手,5年,28,1994/11/9,171cm,71kg,B,左左,兵庫,5,0.293,132,580,525,154,3,34,30,41,7,63,6,7,0.352,0.352,0.704,4.95,4.79
長坂　拳弥,1000,捕手,7年,28,1994/4/28,173cm,81kg,B,右右,群馬,57,0.175,27,46,40,7,0,1,0,0,0,16,6,2,0.175,0.25,0.425,0.4,0.43
髙寺　望夢,600,内野手,3年,20,2002/10/17,178cm,74kg,O,右左,長野,55,0.13,8,27,23,3,0,2,1,2,0,5,1,0,0.192,0.261,0.453,1.58,1.95
髙山　俊,2100,外野手,8年,30,1993/4/18,181cm,87kg,O,右左,千葉,67,0.189,38,56,53,10,0,0,2,2,0,12,1,0,0.218,0.226,0.445,1.51,1.56
